mesh_idx,mesh_id,model_key,model_name,modality,mean_iou,mean_dice,iou_view_0,iou_view_1,iou_view_2,iou_view_3,iou_view_4,iou_view_5,iou_view_6,iou_view_7,iou_view_8,iou_view_9,iou_view_10,iou_view_11,dice_view_0,dice_view_1,dice_view_2,dice_view_3,dice_view_4,dice_view_5,dice_view_6,dice_view_7,dice_view_8,dice_view_9,dice_view_10,dice_view_11
86,63695230beb44ae68650bdd4d914917f,orig_normal,Orig mem + Normal,normal,0.5853979537884394,0.6762410402297974,0.9249771237373352,0.6702535152435303,0.5808750987052917,0.4587259888648987,0.5425423979759216,0.622102677822113,0.6907467246055603,0.673541247844696,0.6172458529472351,0.5241662859916687,0.3567173480987549,0.3628811836242676,0.9599504470825195,0.7776493430137634,0.6962653994560242,0.5770636796951294,0.6430942416191101,0.736250102519989,0.7821969389915466,0.7567192912101746,0.7218258380889893,0.6125826835632324,0.4321460723876953,0.41914844512939453
86,63695230beb44ae68650bdd4d914917f,orig_point,Orig mem + Point,point,0.5185659900307655,0.616802786787351,0.9249771237373352,0.6233866214752197,0.4618411660194397,0.4249141812324524,0.4466826617717743,0.5831277370452881,0.570661187171936,0.5029811263084412,0.5245680212974548,0.4642751216888428,0.35410988330841064,0.34126704931259155,0.9599504470825195,0.735800564289093,0.5813036561012268,0.534195601940155,0.5691160559654236,0.6918033957481384,0.6805762648582458,0.5942034125328064,0.6352426409721375,0.5611216425895691,0.43706226348876953,0.42125749588012695
86,63695230beb44ae68650bdd4d914917f,orig_matte,Orig mem + Matte,matte,0.5546688611308733,0.6443450078368187,0.9249771237373352,0.6584182977676392,0.5506292581558228,0.4980078637599945,0.5458828806877136,0.5452929139137268,0.5687074661254883,0.5831552743911743,0.5776059031486511,0.44896575808525085,0.3544609546661377,0.399922639131546,0.9599504470825195,0.7725868225097656,0.654562771320343,0.6043165326118469,0.6591551303863525,0.6454858779907227,0.6559664011001587,0.6603261828422546,0.6668335199356079,0.5448322296142578,0.4361952841281891,0.4719288945198059
86,63695230beb44ae68650bdd4d914917f,angular_normal,Geo-aware mem + Normal,normal,0.5897806584835052,0.6821457619468371,0.9250834584236145,0.672034502029419,0.580376923084259,0.4488541781902313,0.5196179747581482,0.612347424030304,0.7291528582572937,0.7201534509658813,0.6350632905960083,0.5327680110931396,0.36227598786354065,0.3396398425102234,0.9600071310997009,0.7781995534896851,0.6957668662071228,0.5640150904655457,0.6186423301696777,0.7267875671386719,0.8280755877494812,0.81318199634552,0.7357243299484253,0.6291394233703613,0.4461050033569336,0.3901042640209198
86,63695230beb44ae68650bdd4d914917f,angular_point,Geo-aware mem + Point,point,0.5369513432184855,0.6364868705471357,0.9250834584236145,0.6233947277069092,0.4612170159816742,0.42440158128738403,0.45951443910598755,0.5889086723327637,0.6267216801643372,0.5348994135856628,0.5361253619194031,0.46087732911109924,0.4198701083660126,0.38240233063697815,0.9600071310997009,0.7374499440193176,0.5790371298789978,0.5335471034049988,0.5760616660118103,0.6956009864807129,0.7415090799331665,0.6272073984146118,0.6429457664489746,0.5552814602851868,0.5171093940734863,0.4720853865146637
86,63695230beb44ae68650bdd4d914917f,angular_matte,Geo-aware mem + Matte,matte,0.5783363580703735,0.6728598227103552,0.9250834584236145,0.6614231467247009,0.5495981574058533,0.4956900179386139,0.5623200535774231,0.5975317358970642,0.6595178842544556,0.6857132315635681,0.6207701563835144,0.5058848261833191,0.3434755504131317,0.33302807807922363,0.9600071310997009,0.7737330794334412,0.6543322801589966,0.5999929904937744,0.6741283535957336,0.7099307179450989,0.7684254050254822,0.7668769955635071,0.7254763245582581,0.6136289834976196,0.4245300889015198,0.40325552225112915
86,63695230beb44ae68650bdd4d914917f,dual_orig_mem,Dual (Normal+Point) + Orig mem,dual,0.5848647654056549,0.670273577173551,0.9250834584236145,0.6738191843032837,0.5801956057548523,0.452240526676178,0.528457760810852,0.6401816606521606,0.6780088543891907,0.6425003409385681,0.6203262209892273,0.5318244695663452,0.37349238991737366,0.37224671244621277,0.9600071310997009,0.7803736925125122,0.6941134333610535,0.5566088557243347,0.6080474257469177,0.7481045126914978,0.7807217836380005,0.7231144309043884,0.7051748633384705,0.6141397953033447,0.44719764590263367,0.42567935585975647
86,63695230beb44ae68650bdd4d914917f,dual_ang_mem,Dual (Normal+Point) + Geo-aware mem,dual,0.6016720359524091,0.6904872556527456,0.9250834584236145,0.6738191843032837,0.5801956057548523,0.452240526676178,0.5379859805107117,0.6461846828460693,0.7156473398208618,0.6822764277458191,0.6385934352874756,0.5349079370498657,0.46121054887771606,0.37191930413246155,0.9600071310997009,0.7803736925125122,0.6941134333610535,0.5566088557243347,0.6231124997138977,0.7531459927558899,0.8138068318367004,0.7757944464683533,0.7322731018066406,0.6168147921562195,0.55421382188797,0.4255824685096741
181,ed24b6e27921449f935509d9f3da043f,orig_normal,Orig mem + Normal,normal,0.5686335836847624,0.6517837569117546,0.9761931300163269,0.790297269821167,0.7595425248146057,0.593712568283081,0.44829094409942627,0.5940502882003784,0.7091841101646423,0.5481352210044861,0.4191023111343384,0.33662736415863037,0.2416342794895172,0.4068329930305481,0.9877868294715881,0.8606957197189331,0.8412728905677795,0.7023066282272339,0.5535653829574585,0.7062381505966187,0.8102091550827026,0.6578340530395508,0.48728427290916443,0.4104688763618469,0.2998731732368469,0.5038699507713318
181,ed24b6e27921449f935509d9f3da043f,orig_point,Orig mem + Point,point,0.6811160097519556,0.7560801108678182,0.9761931300163269,0.859011709690094,0.8586351275444031,0.7291677594184875,0.5722905993461609,0.7401297688484192,0.8908518552780151,0.6467307806015015,0.5433086156845093,0.4380299150943756,0.4599630832672119,0.459079772233963,0.9877868294715881,0.9123762845993042,0.9195952415466309,0.827738344669342,0.6624943017959595,0.810062825679779,0.9395643472671509,0.7576802372932434,0.6106011271476746,0.5094441771507263,0.5517259240150452,0.5838916897773743
