Model,Mean IoU,Std IoU,Mean Dice,Std Dice,Num Meshes
Dual (Normal+Point) + Geo-aware mem,57.16593596463403,16.762238414792723,62.35892353889842,16.28707024247582,40
Dual (Normal+Point) + Orig mem,56.73817611144234,16.719956300471743,61.95151971963545,16.246054887193438,40
Geo-aware mem + Point,52.497210148721926,18.61912278875734,58.05826345458627,18.83374627817038,40
Orig mem + Point,51.855429724479706,18.570414073232953,57.45452814580252,18.764782242455173,40
Geo-aware mem + Matte,50.86562686289351,18.363987902548214,55.74882242828607,18.323239311629493,40
Geo-aware mem + Normal,49.645387643298214,19.28366851190085,54.37525483517675,19.352665500912064,40
Orig mem + Matte,49.15868770563975,18.439862804644918,54.03975774223605,18.40989798568265,40
Orig mem + Normal,48.04251820334078,19.188180906403876,52.71573364928675,19.373029111616848,40
