Model,View,Mean IoU,Std IoU,Mean Dice,Std Dice
Geo-aware mem + Matte,10,38.39114250615239,17.928860514325766,43.66492945700884,18.79395109849694
Geo-aware mem + Matte,11,41.4189825206995,17.994610334710668,46.63203652948141,18.739646627375983
Dual (Normal+Point) + Orig mem,0,81.05241060256958,17.57117548828644,82.76018992066383,17.385403244701937
Dual (Normal+Point) + Orig mem,1,64.74758520722389,21.540588889737307,69.56908941268921,20.49147626132195
Dual (Normal+Point) + Orig mem,2,60.42747851461172,22.8270031674811,65.57856969535351,22.258720620652884
Dual (Normal+Point) + Orig mem,3,54.33296270668506,20.403540477231598,60.05402922630309,19.837698661106078
Dual (Normal+Point) + Orig mem,4,54.07863359898328,19.77170174142351,59.911127761006355,19.35650319499509
Dual (Normal+Point) + Orig mem,5,60.195640549063675,19.645350444730802,65.66872172057629,19.06266080131453
Dual (Normal+Point) + Orig mem,6,61.069726273417466,19.601339384611403,66.1847073584795,18.93015993023833
Dual (Normal+Point) + Orig mem,7,50.89063569903374,19.534908606210323,56.50207236409187,19.149272738743722
Dual (Normal+Point) + Orig mem,8,50.488398000597954,17.579599231140563,56.05954352766276,17.597860125248364
Dual (Normal+Point) + Orig mem,9,49.6508003026247,16.86654743368225,55.49598131328821,16.86558081011246
Dual (Normal+Point) + Orig mem,10,46.87471531331539,15.333611371330258,52.850830778479576,15.357591330242542
Dual (Normal+Point) + Orig mem,11,47.04912656918168,16.04544571902114,52.783373557031155,15.893632938199346
Dual (Normal+Point) + Geo-aware mem,0,81.05241060256958,17.57117548828644,82.76018992066383,17.385403244701937
Dual (Normal+Point) + Geo-aware mem,1,64.74758520722389,21.540588889737307,69.56908941268921,20.49147626132195
Dual (Normal+Point) + Geo-aware mem,2,60.42747851461172,22.8270031674811,65.57856969535351,22.258720620652884
Dual (Normal+Point) + Geo-aware mem,3,54.33296270668506,20.403540477231598,60.05402922630309,19.837698661106078
Dual (Normal+Point) + Geo-aware mem,4,54.33335423469543,19.864707708667808,60.383112356066704,19.30944103790143
Dual (Normal+Point) + Geo-aware mem,5,60.683845207095146,19.958530945651564,66.19765758514404,19.475269765807084
Dual (Normal+Point) + Geo-aware mem,6,62.14414577931166,19.50348954051605,66.98950000107288,18.779168060022677
Dual (Normal+Point) + Geo-aware mem,7,51.54918882995844,19.635074787225882,57.20817625522614,19.14995732981891
Dual (Normal+Point) + Geo-aware mem,8,51.24417845159769,17.007039291350363,56.78083539009094,16.953803111900058
Dual (Normal+Point) + Geo-aware mem,9,50.42067747563124,16.272925105422196,56.26895043998956,16.423866875508214
Dual (Normal+Point) + Geo-aware mem,10,47.8786901012063,15.716332928218185,53.68897743523121,15.700785106722684
Dual (Normal+Point) + Geo-aware mem,11,47.17671446502209,16.26999005438205,52.827994748950005,15.979310992080459
