Model,Mesh ID,Mesh Index,Mean IoU,Mean Dice,Std IoU,Std Dice
Geo-aware mem + Normal,63695230beb44ae68650bdd4d914917f,86,58.978065848350525,68.2145761946837,15.82787265660541,15.592440953618237
Geo-aware mem + Normal,ed24b6e27921449f935509d9f3da043f,181,58.69405617316564,66.6825940211614,20.085034960945055,19.43034770129855
Geo-aware mem + Normal,3031b834ab514a0fb91e0fec151ed0ff,39,67.32842276493707,72.60068729519844,19.404125390985612,18.609239358432276
Geo-aware mem + Normal,d4f7c4b5f9bd4284899477cb1f5bb48f,168,32.14256291588147,40.211187551418945,17.442698340399456,16.092784084489207
Geo-aware mem + Normal,6499bf2bcc024d419bd23f4d2eb332ce,87,41.48089451094468,45.62663212418556,16.823630378084395,16.307544525222756
Geo-aware mem + Normal,f044310ff65243f9b90fa0904025c034,185,46.88998435934384,53.28188786904017,20.73228835501706,21.453054318671157
Geo-aware mem + Normal,31b3720044ca458d90461a4ba5a22abf,40,50.49524481097857,58.25807576378187,18.118696462809883,17.24110991125381
Geo-aware mem + Normal,002e462c8bfa4267a9c9f038c7966f3b,1,64.71675261855125,68.44422047336897,21.27845093120655,20.509221237949006
Geo-aware mem + Normal,554899583c654f3e84ba4b4263b4bb94,71,52.778367698192596,57.83855517705282,6.575811123541044,6.567077566595948
Geo-aware mem + Normal,b51e3cb5e548409f940eb38f8db551d2,150,34.587689861655235,40.71250309546788,18.7376653802416,18.466554086294508
Geo-aware mem + Normal,84c69258a64f421080b44ed49650da52,114,79.86037035783133,84.12201752265295,14.110516289984808,13.087061105878378
Geo-aware mem + Normal,439ee7ebf11d45739dbef21b91669c1b,56,47.36576328674953,54.00090590119362,18.822405477859363,18.30177984545593
Geo-aware mem + Normal,7b15e31faa7141329dad5f83089f678a,107,6.411464496826132,7.329638426502545,13.173553034561639,13.658703871334648
Geo-aware mem + Normal,f45ac2100d2342fa8ab39d38d0f874ba,191,81.54185116291046,83.3951604863008,21.736494317447054,21.45386570556451
Geo-aware mem + Normal,d1a5633cfa0740d59bce4d3ea051329d,166,37.59261953334014,41.409196207920715,16.111824762633855,15.110591818758309
Geo-aware mem + Normal,4017fc4184ef4c2782a0231113258a17,50,41.865789269407585,44.21052585045497,11.25591843801097,10.842833883576057
Geo-aware mem + Normal,ab9804f981184f8db6f1f814c2b8c169,143,72.02252720793089,79.47598447402319,15.70921893071242,13.368864692564422
Geo-aware mem + Normal,f98f9602167641529eb3f8044b61692f,197,72.8790576259295,76.57616585493088,11.018395124195843,9.789016927834712
Geo-aware mem + Normal,b8915325eadc4f86af543daaf10702de,154,71.67550573746362,77.24124491214752,7.892050647922205,6.195166741185876
Geo-aware mem + Normal,8eda5c8b64f64096b3995a08f6095644,129,58.29221953948339,66.00451022386551,11.949209460977722,10.248485515412774
Geo-aware mem + Normal,474fd643f4204ee59ff73fe9b1916239,59,17.103383162369333,21.339312568306923,8.37890185997849,8.188200711766157
Geo-aware mem + Normal,42e5ff17de214f0d8aabd509f090a46c,55,54.614635556936264,58.12114179134369,21.538329460511164,21.07994141456534
Geo-aware mem + Normal,2084a523a5df4567844524afef5912db,23,25.95111345872283,29.87128222982089,19.680852929518355,20.944922554344124
Geo-aware mem + Normal,053b8a4984e340ad94f3b563594ff09d,7,55.45391986767451,60.93680659929911,9.50847835399702,8.718447397391206
Geo-aware mem + Normal,062c791e78a643f7bd380c336f809389,8,50.81208944320679,58.958148707946144,11.22239827374209,10.661473199449269
Geo-aware mem + Normal,7b7b140d42cf447d87ab5e1ef407d9ae,108,38.08271226783593,43.733757485946015,15.557563830449253,14.49501107748999
Geo-aware mem + Normal,b5aa31a84cc746a982228827c5185ac3,151,19.923510619749628,21.786961083610855,14.061846313071747,14.831519216745301
Geo-aware mem + Normal,1d97ec6885464f6a9ce7a4cc955bff41,22,82.51549551884332,84.44376587867737,13.401537632486155,12.411861406766315
Geo-aware mem + Normal,9f43d0ac857541e8a3a92e20ba284c44,139,70.87198942899704,74.83519464731216,15.900770520699037,15.552275594938209
Geo-aware mem + Normal,da7af66ce5df4629802e97dc03d186f5,173,70.95938647786775,73.28235904375711,22.080474882196118,20.72208074144553
Geo-aware mem + Normal,238bdb0c4e3e4432951c31c85a55a9c8,26,19.03440517683824,24.19241021076838,9.636348877761233,8.46179404243719
Geo-aware mem + Normal,f1150d2342a8470e912942c49e978f28,188,27.21574104895505,32.23432534141466,23.634984467371446,24.49712933007777
Geo-aware mem + Normal,2e5436e635dc4336984c76a5f92c7141,35,44.46234578887622,49.77343653639157,16.364071114841792,16.125610540213714
Geo-aware mem + Normal,45adf40fce0a4690878d1c23c95f8477,57,40.4809017976125,45.3766405582428,11.477711510941226,12.143494150642569
Geo-aware mem + Normal,4b57e73e82ab400aa307adac36ea0e5e,62,31.135228152076404,36.59927149613698,7.249955713399705,8.292467662374323
Geo-aware mem + Normal,53d9d21ff95f42428225f906cd9a0a5a,70,63.50756958127022,66.3291665414969,14.579036516860686,14.056424514139247
Geo-aware mem + Normal,f121301624174b179ca4d50158797b03,189,23.801188295086227,28.265082649886608,19.995041326474546,21.425573132288743
Geo-aware mem + Normal,02e777bdc5114b148963ed3def6ad471,6,53.03323889772097,55.61028917630514,6.306787794178774,6.145997489253075
Geo-aware mem + Normal,245af7dde0cd4add9f7e11db3bbbccba,28,47.597216318051025,50.8757621049881,10.130999233670483,10.376258533126595
Geo-aware mem + Normal,cdc707fbe68c474497cb9dd676ede842,163,71.66022509336472,72.80880933006605,15.735810038118444,15.842279572284697
Geo-aware mem + Point,63695230beb44ae68650bdd4d914917f,86,53.69513432184855,63.64868705471357,14.043457773936485,12.745335503023794
Geo-aware mem + Point,ed24b6e27921449f935509d9f3da043f,181,68.44379131992659,75.68656504154205,18.34340728394059,16.364388569327446
Geo-aware mem + Point,3031b834ab514a0fb91e0fec151ed0ff,39,70.59746806820235,76.70079817374548,13.456496151232253,12.894677563252033
Geo-aware mem + Point,d4f7c4b5f9bd4284899477cb1f5bb48f,168,49.717725068330765,53.41013545791308,12.73535024375598,13.289174601419331
Geo-aware mem + Point,6499bf2bcc024d419bd23f4d2eb332ce,87,38.042180985212326,42.59047855933507,15.495151408157545,14.567130442959092
Geo-aware mem + Point,f044310ff65243f9b90fa0904025c034,185,54.612295081218086,63.056401163339615,16.189897217109785,15.468047996690789
Geo-aware mem + Point,31b3720044ca458d90461a4ba5a22abf,40,56.6990964114666,64.00030429164568,16.19901509232283,15.97515257135925
Geo-aware mem + Point,002e462c8bfa4267a9c9f038c7966f3b,1,62.98981333772341,67.94495259722075,20.470962093869176,20.0783129686382
Geo-aware mem + Point,554899583c654f3e84ba4b4263b4bb94,71,48.44750314950943,53.58954817056656,8.125408852859055,7.694100130544982
Geo-aware mem + Point,b51e3cb5e548409f940eb38f8db551d2,150,36.174970368544265,44.82511778672536,16.22935181745732,14.361418278390413
Geo-aware mem + Point,84c69258a64f421080b44ed49650da52,114,73.73575990398726,81.90976331631342,14.067146039229417,10.938111119841912
Geo-aware mem + Point,439ee7ebf11d45739dbef21b91669c1b,56,55.21328796943029,60.11958842476209,14.389608783858208,14.67670025304075
Geo-aware mem + Point,7b15e31faa7141329dad5f83089f678a,107,15.92477597296238,20.02065423876047,10.596634681707014,10.413889851945113
Geo-aware mem + Point,f45ac2100d2342fa8ab39d38d0f874ba,191,70.4642596344153,73.80430375536284,21.77259133043448,21.04995051049046
Geo-aware mem + Point,d1a5633cfa0740d59bce4d3ea051329d,166,32.80426238973935,37.84645336369674,16.229956356330806,15.042833796313829
Geo-aware mem + Point,4017fc4184ef4c2782a0231113258a17,50,48.668600122133896,51.635024696588516,10.658840424965737,10.059032854478325
Geo-aware mem + Point,ab9804f981184f8db6f1f814c2b8c169,143,74.42284822463989,82.17193335294724,11.30558199078975,9.831147172339552
Geo-aware mem + Point,f98f9602167641529eb3f8044b61692f,197,79.80516503254572,83.95675271749496,8.908146305657311,8.199875001313854
Geo-aware mem + Point,b8915325eadc4f86af543daaf10702de,154,81.1012551188469,86.5281860033671,8.990053329136298,9.584154808369286
Geo-aware mem + Point,8eda5c8b64f64096b3995a08f6095644,129,49.93577276666959,57.78744543592135,13.367543542029098,12.109380495114488
Geo-aware mem + Point,474fd643f4204ee59ff73fe9b1916239,59,21.542427937189736,25.309022143483162,6.639800099100437,5.733949423186845
Geo-aware mem + Point,42e5ff17de214f0d8aabd509f090a46c,55,65.88830898205438,71.65412058432898,14.047422661799637,12.32674657439823
Geo-aware mem + Point,2084a523a5df4567844524afef5912db,23,36.529284467299775,41.66693290074666,15.648801187225736,15.888751111623728
Geo-aware mem + Point,053b8a4984e340ad94f3b563594ff09d,7,56.07126777370771,64.49290489157042,10.192998293627515,9.378473628854515
Geo-aware mem + Point,062c791e78a643f7bd380c336f809389,8,46.938102692365646,56.40470733245214,10.666854082862454,8.149943947350712
Geo-aware mem + Point,7b7b140d42cf447d87ab5e1ef407d9ae,108,31.427928681174915,38.01643898089726,16.115254635047336,14.867680631833135
Geo-aware mem + Point,b5aa31a84cc746a982228827c5185ac3,151,21.24105772624413,23.33351317793131,10.487039198573806,10.964901811512075
Geo-aware mem + Point,1d97ec6885464f6a9ce7a4cc955bff41,22,82.3876346151034,84.93570735057196,11.373506731854212,10.770392110503197
Geo-aware mem + Point,9f43d0ac857541e8a3a92e20ba284c44,139,72.55150526762009,76.82128051916757,16.14926316513738,15.621715281343068
Geo-aware mem + Point,da7af66ce5df4629802e97dc03d186f5,173,82.07928240299225,84.91223702828088,17.16945539280147,15.712788550365214
Geo-aware mem + Point,238bdb0c4e3e4432951c31c85a55a9c8,26,18.717758481701217,22.47264881928762,12.274158742678196,11.611267950627582
Geo-aware mem + Point,f1150d2342a8470e912942c49e978f28,188,33.571542861560985,40.471430495381355,18.978917726215986,18.26549498760276
Geo-aware mem + Point,2e5436e635dc4336984c76a5f92c7141,35,67.70278761784235,76.55323197444281,8.215882245149524,6.333832840294655
Geo-aware mem + Point,45adf40fce0a4690878d1c23c95f8477,57,37.416475017865494,42.074213425318405,11.139479296974049,11.715868781234189
Geo-aware mem + Point,4b57e73e82ab400aa307adac36ea0e5e,62,37.30495820442836,42.93065965175629,6.695518992079087,7.260251593213453
