Model,Mean IoU,Std IoU,Mean Dice,Std Dice,Num Meshes
Finetuned Multimodal (MM + Geo-aware mem),57.16593596463403,16.762238414792723,62.35892353889842,16.28707024247582,40
Geo-aware mem + Point,52.497210148721926,18.61912278875734,58.05826345458627,18.83374627817038,40
Geo-aware mem + Matte,50.86562686289351,18.363987902548214,55.74882242828607,18.323239311629493,40
Geo-aware mem + Normal,49.645387643298214,19.28366851190085,54.37525483517675,19.352665500912064,40
