Mesh_ID,Mesh_Index,Modality,GT_Instance_ID,IoU,Dice,GT_Area,Pred_Area,Num_Predicted_Masks,Best_Pred_Mask_ID
00200996b8f34f55a2dd2f44d316d107,0,normal,1,0.3271121382713318,0.49296835064888,61119,20014,13,2
00200996b8f34f55a2dd2f44d316d107,0,normal,2,0.568682849407196,0.7250450253486633,32932,18731,13,3
00200996b8f34f55a2dd2f44d316d107,0,normal,3,0.08128198981285095,0.15034374594688416,1335,16411,13,5
00200996b8f34f55a2dd2f44d316d107,0,normal,4,0.637684166431427,0.7787632942199707,23855,15379,13,6
00200996b8f34f55a2dd2f44d316d107,0,normal,5,0.5460894107818604,0.706413745880127,8912,6586,13,10
00200996b8f34f55a2dd2f44d316d107,0,normal,6,0.35319894552230835,0.522020697593689,9063,17185,13,4
00200996b8f34f55a2dd2f44d316d107,0,normal,7,0.5197691321372986,0.6840106248855591,9145,17185,13,4
00200996b8f34f55a2dd2f44d316d107,0,normal,8,0.0745888352394104,0.1388230174779892,1371,17185,13,4
00200996b8f34f55a2dd2f44d316d107,0,normal,9,0.6515970230102539,0.789050817489624,21802,16411,13,5
00200996b8f34f55a2dd2f44d316d107,0,normal,10,0.05444105342030525,0.10326049476861954,11325,206648,13,1
00200996b8f34f55a2dd2f44d316d107,0,normal,11,0.04063288867473602,0.07809264957904816,3869,13034,13,7
00200996b8f34f55a2dd2f44d316d107,0,point,1,0.3299839496612549,0.49622246623039246,61119,57477,6,1
00200996b8f34f55a2dd2f44d316d107,0,point,2,0.8812364935874939,0.9368694424629211,32932,35957,6,2
00200996b8f34f55a2dd2f44d316d107,0,point,3,0.0,0.0,1335,828023,6,0
00200996b8f34f55a2dd2f44d316d107,0,point,4,0.40966445207595825,0.581222653388977,23855,57477,6,1
00200996b8f34f55a2dd2f44d316d107,0,point,5,0.0,0.0,8912,828023,6,0
00200996b8f34f55a2dd2f44d316d107,0,point,6,0.3409397304058075,0.5085086822509766,9063,16793,6,3
00200996b8f34f55a2dd2f44d316d107,0,point,7,0.5335225462913513,0.6958131194114685,9145,16793,6,3
00200996b8f34f55a2dd2f44d316d107,0,point,8,0.06290595978498459,0.11836599558591843,1371,16793,6,3
00200996b8f34f55a2dd2f44d316d107,0,point,9,0.0,0.0,21802,828023,6,0
00200996b8f34f55a2dd2f44d316d107,0,point,10,0.0,0.0,11325,828023,6,0
00200996b8f34f55a2dd2f44d316d107,0,point,11,0.23001541197299957,0.3740040957927704,3869,16088,6,4
00200996b8f34f55a2dd2f44d316d107,0,matte,1,0.3209640085697174,0.485954225063324,61119,19617,15,2
00200996b8f34f55a2dd2f44d316d107,0,matte,2,0.562940239906311,0.7203605771064758,32932,18545,15,3
00200996b8f34f55a2dd2f44d316d107,0,matte,3,0.006307225674390793,0.01253538765013218,1335,211662,15,1
00200996b8f34f55a2dd2f44d316d107,0,matte,4,0.6356679797172546,0.7772579789161682,23855,15262,15,5
00200996b8f34f55a2dd2f44d316d107,0,matte,5,0.9655017852783203,0.982448160648346,8912,8636,15,11
00200996b8f34f55a2dd2f44d316d107,0,matte,6,0.35295337438583374,0.5217524766921997,9063,17026,15,4
00200996b8f34f55a2dd2f44d316d107,0,matte,7,0.6294747591018677,0.7726106643676758,9145,9563,15,10
00200996b8f34f55a2dd2f44d316d107,0,matte,8,0.0742146447300911,0.13817469775676727,1371,17026,15,4
00200996b8f34f55a2dd2f44d316d107,0,matte,9,0.10151546448469162,0.1843196451663971,21802,211662,15,1
