Modality,Mean_IoU,Std_IoU,Mean_Dice,Std_Dice,Num_Meshes,Avg_GT_Instances,Avg_Predicted_Masks,Avg_Mesh_Runtime
normal,0.37570380325073466,0.19969884576554686,0.4324758637623056,0.20493489948397564,200,8.11,8.92,158.3077721631527
point,0.3066170242376876,0.19589299168868052,0.3633296685029126,0.2015673469558421,200,8.11,6.755,158.3077721631527
matte,0.3764897497577359,0.20311690349133454,0.43034889581837055,0.20780107060689115,200,8.11,8.97,158.3077721631527
