Model,Mean IoU,Std IoU,Mean Dice,Std Dice,Num Meshes
Dual (Normal+Point) + Geo-aware mem (GT prompts),57.16593596463403,16.762238414792723,62.35892353889842,16.28707024247582,40
Dual (Normal+Point) + Geo-aware mem (AMG prompts),31.482428560266275,16.677386245251984,36.48477849084884,17.27598971257589,40
